;;;;;Bancos;Cuentaas_tweeter
;;;;;BANCO GUAYAQUIL;955
;;;;;BANCO INTERNACIONAL;14
;;;;;BANCO PACIFICO;1192
;;;;;BANCO PICHINCHA;344
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;Localizacion;Cuentas
Etiquetas de fila;Cuenta de localizacion;;;;AMBATO;9
BANCO GUAYAQUIL;955;;;;CUENCA;29
BANCO INTERNACIONAL;14;;;;EL  ORO;8
BANCO PACIFICO;1192;;;;ESMERALDAS;13
BANCO PICHINCHA;344;;;;GUAYAS;1157
(en blanco);;;;;HUAQUILLAS;1
Total general;2505;;;;IBARRA;1
;;;;;LATACUNGA;7
;;;;;LOJA;5
;;;;;MACAS;4
;;;;;MACHALA;9
;;;;;MANABI;45
;;;;;OTROS;754
;;;;;PICHINCHA;318
;;;;;QUITO;116
;;;;;SANTO DOMINGO;17
;;;;;TENA;6
;;;;;TULCAN;5
;;;;;ZAMORA;1
;;;;;;
;;;;;;
;;;;;Localizacion;Retweet
;;;;;AMBATO;40
;;;;;CUENCA;491
;;;;;EL  ORO;8
;;;;;ESMERALDAS;855
;;;;;GUAYAS;20023
;;;;;HUAQUILLAS;5
;;;;;IBARRA;0
;;;;;LATACUNGA;777
;;;;;LOJA;402
;;;;;MACAS;0
;;;;;MACHALA;1228
;;;;;MANABI;1009
;;;;;OTROS;9769
;;;;;PICHINCHA;3053
;;;;;QUITO;7114
;;;;;SANTO DOMINGO;419
;;;;;TENA;482
;;;;;TULCAN;0
;;;;;ZAMORA;27
